athlete_id,ELO,counted_races,name,country,last_race,races_sequence,elo_sequence
63754,970.746999875572,1,Luis Monteiro,,,,
29837,1031.5174314124,17,Luis Octavio Oliveros Gamez,,,,
103252,1058.85661030006,6,Luis Ortiz,,,,
18168,1001.87952491889,1,Luis Pacheco,,,,
15115,986.877266091484,1,Luis Parra Calle,,,,
55793,878.940826562864,8,Luis Pedro Ferreira,,,,
73466,991.186282335498,1,Luis Quezada,,,,
39544,987.422360016545,1,Luis Quiñones,,,,
169872,979.136157419323,1,Luis Ricardo Gonzalez Herrera,,,,
61424,1018.02786203888,1,Luis Santos,,,,
15832,940.037958557848,2,Luis Tornito,,,,
16187,970.506651453309,1,Luis Torrico Zamorano,,,,
147586,989.065901107452,1,Luis Vargas,,,,
111499,975.983203990023,1,Luis Vidal,,,,
29096,955.993921746036,3,Luis Zamora,,,,
10356,901.692432417595,19,Luiz Catta Filho,,,,
29899,978.265153169826,1,Luiz Felipe Cunha,,,,
16568,1024.21133326744,12,Luiz Francisco Ferreira,,,,
123508,984.321800103796,3,Luiz Gabriel Shianti,,,,
96039,994.464865199658,4,Luka Dumančić,,,,
64051,919.544111244199,4,Luka Garevski,,,,
64912,965.095613447388,5,Luka Grgorinic,,,,
11008,978.155161296965,1,Luka Kaplan,,,,
164542,989.898956753035,1,Luka Kosovel,,,,
33703,921.835457965935,13,Luka Paliska,,,,
119133,987.848683590823,1,Luka Penić,,,,
10950,988.309168464789,1,Luka Prodnik,,,,
150630,1006.91162122038,1,Lukas Bentsen,,,,
47214,913.266389754679,21,Lukas Cervenka,,,,
21627,983.317079728066,1,Lukas Drozd,,,,
58135,997.63286920175,1,Lukas Erben,,,,
19520,968.899626764446,6,Lukas Gaggl,,,,
83115,1007.77218435969,20,Lukas Gstaltner,,,,
23054,976.305791456099,5,Lukas Hirt,,,,
15838,1252.91127631657,119,Lukas Hollaus,,,,
93554,903.59287664266,6,Lukas Jasensky,,,,
25668,982.60097353796,11,Lukas Kocar,,,,
64908,785.802110532597,32,Lukas Kollegger,,,,
30268,944.012178801252,7,Lukas Maiwaelder,,,,
91018,981.736601771934,1,Lukas Mena Arenas,,,,
130087,981.671627546552,1,Lukas Padmosoekarto,,,,
49084,1081.71807596763,70,Lukas Pertl,,,,
116316,954.314481122807,5,Lukas Prokopavicius,,,,
10935,1031.96668711924,15,Lukas Salvisberg,,,,
39497,791.387234260377,25,Lukas Siska,,,,
147169,979.441399729373,1,Lukas Svoboda,,,,
13600,1010.49679598914,8,Lukas Tomasek,,,,
29115,969.903609772459,18,Lukas Verzbicas,,,,
96328,1006.05392183333,1,Lukas Vrobel,,,,
73415,911.87926653352,7,Lukasz Michalak,,,,
91064,1131.31539410384,26,Luke Bate,,,,
29787,1018.48986463136,1,Luke Bonnici,,,,
92492,1068.05104885016,31,Luke Burns,,,,
23721,982.732452132366,2,Luke Colthup,,,,
23817,1012.55934765555,8,Luke Dragstra,,,,
39411,1071.07727593769,8,Luke Farkas,,,,
39176,1002.47326479786,5,Luke Farrell,,,,
15129,977.004410736442,5,Luke Grattan,,,,
6504,1099.98782039791,12,Luke Harrop,,,,
111847,973.206053252734,5,Luke Harvey,,,,
6083,1006.37862781554,2,Luke Hoetjes,,,,
110704,969.273755433559,5,Luke McCarron,,,,
5817,1000.12799059097,10,Luke Mckenzie,,,,
61271,1013.3272611112,4,Luke Penney,,,,
70629,1019.40379240164,6,Luke Pollard,,,,
111852,1044.79800826601,16,Luke Schofield,,,,
128535,956.970996461314,2,Luke Scott,,,,
12164,1002.11364176706,3,Luke Watson,,,,
55495,1248.12549381076,58,Luke Willian,,,,
66451,986.933464481714,1,Luke Wimbush,,,,
124518,929.715947904588,6,Lukáš Juránek,,,,
28144,1008.23570082694,1,Lutwind Gonsales,,,,
66434,997.796702654973,1,Lux Duhautpas,,,,
72483,974.23838835467,1,Lyon Lutgens,,,,
106709,979.703229045368,1,Lyubim Kirilov,,,,
90745,971.689122428397,1,Lyubomir Palov,,,,
24228,978.645418346721,1,Lászlo Benedek,,,,
39519,980.038335238172,2,László Márta,,,,
61235,989.258845811179,1,László Orosz,,,,
122180,974.277773549454,1,László Révész,,,,
29628,1028.17752482393,29,László Tarnai,,,,
63162,1545.29525603177,46,Léo Bergere,,,,
135710,1020.52831630159,2,Léo Fernandez,,,,
67451,972.599391161008,1,Léo Vanhulsel,,,,
5584,964.597437019815,12,Lőrinc Balogh,,,,
34293,933.012830000188,3,M Razani,,,,
26744,981.586521213316,1,M. Emre Gultekin,,,,
10044,979.009048942141,1,M. Fatteh Banna,,,,
18437,958.353756562694,3,Maarten De Bolster,,,,
166320,976.530686497368,1,Maaynard Pecson,,,,
157613,996.543346208646,1,Mac Larsen,,,,
60920,977.128244466858,2,Maciej Bodnar,,,,
21659,993.359480366896,1,Maciej Brumm,,,,
123682,1004.9357258313,28,Maciej Bruzdziak,,,,
71134,944.463387555073,5,Maciej Chmura,,,,
115018,979.681555410546,1,Maciej Falbogowski,,,,
47854,932.674757641569,5,Maciej Grembski,,,,
168950,970.205330982521,1,Macstyl Sasso,,,,
115540,975.934635491878,1,Mads Larsen,,,,
104890,1005.8380988018,3,Mads Mortensen,,,,
66836,986.019233978337,1,Madshenrik Laursen,,,,
16174,1001.60838232762,1,Magnua Michelsson,,,,
21337,996.697840556151,6,Magnus Almen,,,,
167522,1011.61750357332,1,Magnus Lynge Larsen,,,,
133106,1013.2882524345,10,Magnus Männer,,,,
159832,1010.64300116301,1,Mahamadou Souley Amore,,,,
91584,1009.63828100466,2,Mahesh Lourembam,,,,
66229,977.576226071259,3,Mahesh Shinde,,,,
14636,942.225147495585,2,Mahmet Ali Elgin,,,,
133288,982.941917632518,1,Mahmoud Hassan,,,,
104676,997.930754417616,3,Mahmoud Osama,,,,
25099,996.787011237918,1,Maik Friedrich,,,,
5332,1397.56724371824,84,Maik Petzold,,,,
6935,1037.53596384379,5,Maik Twelsiek,,,,
18794,967.135068051852,2,Maikel Zuijderhoudt,,,,
97116,983.302250119023,1,Mairi Karl Feeger,,,,
67010,968.337270723171,1,Maki Narita,,,,
63963,972.213577971529,2,Makoto Komazaki,,,,
5940,860.955171758158,33,Makoto Nagatome,,,,
71542,946.500428246426,2,Makoto Naitou,,,,
63982,1275.98481423954,64,Makoto Odakura,,,,
30559,982.430025268615,2,Makoto Oshida,,,,
21704,935.370203691947,5,Makoto Ueki,,,,
9791,1022.19614939763,2,Maksim Ivanov,,,,
21673,981.091849567078,1,Maksim Kuzmin,,,,
124945,973.861688893897,1,Maksim Mazur,,,,
133078,975.914216686749,1,Maksim Semenov,,,,
50230,925.599720782765,3,Maksim Starchevoy,,,,
74349,869.176298059683,7,Maksims Nagibins,,,,
63044,968.170426232702,2,Maksym Anzin,,,,
39458,942.89996880068,21,Maksym Kriat,,,,
170197,959.071077326061,2,Maksym Starodubtsev,,,,
66597,987.708344866308,1,Malcolm Coote,,,,
81173,913.087148141737,13,Malcolm King,,,,
72039,1011.19364884512,2,Malcolm Lyons,,,,
50040,1005.34679328176,1,Malcolm Provoost,,,,
5784,1015.90907258647,10,Malcom Lyons,,,,
143804,1021.6363803646,2,Mali Raghunath,,,,
167090,993.34296647541,1,Malte Kreibich,,,,
95476,929.301427640105,4,Mamadou Diop,,,,
173073,1005.71975212707,1,Mamadou Diop,,,,
54318,910.552611303526,9,Man Kit Chao,,,,
106842,977.123831728265,5,Manaki Arishima,,,,
16128,971.131498078062,1,Manel Casoni Rero,,,,
22254,981.899436299329,1,Manfred Marte,,,,
5991,991.434638568282,1,Manfred Rieser,,,,
156302,983.241913805103,1,Manfred Ziefusz,,,,
6842,1002.06126134546,3,Mani Singh,,,,
143805,1012.69627860053,1,Manish Dhull,,,,
69143,1351.95297135308,66,Manoel Messias,,,,
7936,979.544545474773,1,Manos Patsikas,,,,
54260,976.044867990756,1,Mantas Barzda,,,,
95385,983.665339778333,1,Mantas Jonikas,,,,
121654,975.808126291318,1,Manuel Alejandro Bringas Anderson,,,,
46150,988.440213559091,1,Manuel Alves,,,,
11951,1013.73921357808,1,Manuel Barreiro,,,,
41889,1022.3174250151,12,Manuel Biagiotti,,,,
159983,1011.86323974964,1,Manuel Bornot,,,,
143513,968.033520944888,1,Manuel Burgos,,,,
55610,1005.75976441037,1,Manuel Canto,,,,
116884,1003.98343666072,1,Manuel Casoni Rero,,,,
148866,993.027342421395,2,Manuel Depauw,,,,
167922,967.620189300157,1,Manuel Fatigatti,,,,
22947,976.58836170724,1,Manuel Goncalves,,,,
17978,986.900801514631,1,Manuel Guillen,,,,
5864,1154.78851745329,98,Manuel Huerta,,,,
7147,952.114219345975,6,Manuel Ignacio Basterrechea,,,,
12133,972.341418330726,22,Manuel Kueng,,,,
66074,970.913361797567,2,Manuel Martinez Jose,,,,
116885,1000.78343666072,1,Manuel Moneva Rico,,,,
26700,979.973736811968,1,Manuel Neissl,,,,
16130,991.44625890409,1,Manuel Osuna,,,,
81384,1000.14343666072,1,Manuel Ramirez Dominguez,,,,
96784,972.094516380179,1,Manuel Sainjon,,,,
66786,977.475358920859,1,Manuel Schmid,,,,
71116,989.871031124424,1,Manuel Somacal,,,,
151572,1022.28362430998,1,Manuel Spoede,,,,
42588,976.961972106085,1,Manuel Sölkner,,,,
18346,1000.80421870914,5,Manuel Wutscher,,,,
10583,945.354538349927,13,Manuel Wyss,,,,
84632,957.99578820204,29,Manuele Canuto,,,,
64310,988.193454005402,1,Manwel Falcon,,,,
12703,829.389560736358,22,Mao-Yung Yang,,,,
49277,1199.0692070729,26,Marc Austin,,,,
23621,1008.39913746701,1,Marc Bamert,,,,
156284,1014.9684095316,1,Marc Barnet,,,,
61082,999.073318927937,1,Marc Bearman,,,,
50190,986.771036230882,4,Marc Becker,,,,
64404,979.804360562543,1,Marc Boucher,,,,
6231,850.040823447236,13,Marc Decaul,,,,
6203,1030.1349586733,10,Marc Despaties,,,,
71429,991.000836188867,1,Marc Devresse,,,,
145778,1011.44364561794,1,Marc Devresse,,,,
11920,982.695970310906,1,Marc Dhur,,,,
125089,1052.21862103749,27,Marc Dubrick,,,,
149918,986.678595445691,1,Marc Duncan,,,,
9906,1002.23578339754,1,Marc Eriksen,,,,
160733,986.725542232707,1,Marc Forgeos,,,,
40247,978.622532729113,1,Marc Freemantle,,,,
6978,1029.52005653523,26,Marc Geerts,,,,
71371,926.588863301922,7,Marc Greyling,,,,
39139,990.256098499159,1,Marc Guilliams,,,,
21070,987.542707513586,9,Marc Herremans,,,,
10876,972.335912426203,1,Marc Houle,,,,
151633,990.283624309975,1,Marc Huber,,,,
160947,973.867754422323,1,Marc Hustache,,,,
71442,970.24407943211,1,Marc Janssen,,,,
5353,1115.72548986731,82,Marc Jenkins,,,,
160994,971.845181058892,1,Marc Lamy,,,,
146813,1019.05130107765,1,Marc Mettlerc,,,,
160868,982.680395505845,1,Marc Montoya,,,,
145786,1007.04669905306,1,Marc Paturel,,,,
145800,998.741355541609,1,Marc Persello,,,,
33485,973.695284322846,1,Marc Petermann,,,,
161153,979.567484334579,1,Marc Rajotte,,,,
75630,984.764104928348,14,Marc Trautmann,,,,
140964,973.854293121792,1,Marc Van Looy,,,,
72500,1001.18575677572,1,Marc Wagner,,,,
6995,1001.73034869773,24,Marc Widmer,,,,
66608,1005.99405915202,1,Marc Williams,,,,
17161,947.169348222108,2,Marc-Andre Hages,,,,
151641,986.72806875442,1,Marc-André Schneider,,,,
22333,927.898022386251,3,Marc-Antoine Christin,,,,
70999,999.403716293482,1,Marc-Edouard Barthelemy,,,,
24647,969.465157554216,1,Marc-Jason Locquiao,,,,
7695,983.198614594753,2,Marc-Philipp Prins,,,,
10579,1025.63945045233,40,Marc-Yvan De Kaenel,,,,
151601,1004.5058465322,1,Marcel Blaser,,,,
71428,1002.38417366983,2,Marcel Boelen,,,,
28214,998.128783615203,1,Marcel Diechtler,,,,
161477,963.366613691489,5,Marcel Lehmberg,,,,
71467,997.954279785727,1,Marcel Locke,,,,
15875,993.003275983174,1,Marcel Luecke,,,,
155548,980.128802925714,1,Marcel Osse,,,,
49417,931.707983479135,8,Marcel Pachteu,,,,
156301,983.788922352112,1,Marcel Presoci,,,,
5636,1040.40064330358,32,Marcel Vifian,,,,
45913,1185.93189094083,64,Marcel Walkington,,,,
22433,1017.4137954367,1,Marcel Weijers,,,,
6282,1022.76964794062,2,Marcel Zamora Pérez,,,,
21474,980.072574748228,1,Marcel Zelinka,,,,
50202,982.190915424809,2,Marcello Butenas,,,,
11212,973.464628767313,3,Marcello Rosadini,,,,
146699,967.363198746019,2,Marcelo Acosta,,,,
165493,975.135470935932,1,Marcelo Andres Delgado Landázuri,,,,
18258,977.140000003486,2,Marcelo Arichuluaga,,,,
6059,955.03566847745,3,Marcelo La Gattina,,,,
92308,971.562452476363,5,Marcelo Lacamoire,,,,
39157,973.674575057603,1,Marcelo Rosadial,,,,
70069,927.675111190313,4,Marcelo Salazar Perez,,,,
5874,924.020646966719,12,Marcin Florek,,,,
13484,959.567759261503,2,Marcin Koloczek,,,,
13362,966.240318365642,2,Marcin Lawicki,,,,
124067,1042.69350753996,20,Marcin Stanglewicz,,,,
5659,903.902708805289,39,Marcin Wedlarski,,,,
158846,978.150596002146,1,Marcio Moreira,,,,
30825,946.77605138396,35,Marco Akershoek,,,,
72455,991.080493617828,1,Marco Albrizio,,,,
7504,924.78383146805,8,Marco Andres Pesantez Toledo,,,,
100361,987.155453346258,1,Marco Antonio Sanchez,,,,
57259,985.512713963964,1,Marco Campagna,,,,
55700,985.73537867342,14,Marco Corrà,,,,
107665,982.18271450271,1,Marco Dalla Venezia,,,,
22382,1005.00167422458,1,Marco De Jong,,,,
160182,991.493036589366,1,Marco Dotta,,,,
123703,990.023683393846,1,Marco Eduardo  Bacab Contreras,,,,
71093,991.376913477366,1,Marco Filipetto,,,,
13297,973.803275983174,1,Marco Grillo,,,,
55974,961.193340166191,5,Marco Grillo,,,,
23634,1001.46620516491,2,Marco Guerci,,,,
71096,972.553384065601,1,Marco Guerri,,,,
12738,1009.36512018341,3,Marco Iseli,,,,
71430,987.541376729407,1,Marco Langenhuizen,,,,
22832,987.650090102301,1,Marco Mello,,,,
71100,970.294560536189,1,Marco Merelli,,,,
17170,984.350913197543,2,Marco Napierala,,,,
28293,977.815899268086,1,Marco Novelli,,,,
71102,983.84750171266,1,Marco Paoli,,,,
148102,970.3926937861,1,Marco Prati,,,,
11400,967.015296889871,6,Marco Quintavalle,,,,
29089,990.624138063812,2,Marco Rivera,,,,
148679,974.982087442119,1,Marco Ruggeri,,,,
71115,982.341619359718,1,Marco Schiavon,,,,
148670,990.982087442119,1,Marco Scrignari,,,,
64413,988.032931991115,1,Marco Sengstok,,,,
113771,968.780300101044,1,Marco Solis,,,,
66825,961.395135283163,2,Marco Sousa,,,,
41276,1214.72515629917,103,Marco Van Der Stel,,,,
71120,977.071031124424,1,Marco Vivona,,,,
44187,998.407918764692,1,Marco Zanotti,,,,
21178,971.771371736808,4,Marcos Barrantes,,,,
121656,969.803154098807,1,Marcos Centurion,,,,
75800,976.450724494211,1,Marcos De Faria,,,,
73643,968.900893934282,2,Marcos Flores Díaz,,,,
172440,1001.5573304687,1,Marcos Herrera Tavarez,,,,
10507,979.412083225975,4,Marcos Mendiola Martinez,,,,
7099,988.980794389108,3,Marcos Sarquis Hallack Gomes,,,,
15525,985.593871501491,1,Marcus Büchler,,,,
106886,1027.47068050901,3,Marcus Dey,,,,
10501,979.146155977395,1,Marcus Forau,,,,
46372,967.225003899741,2,Marcus Herbst,,,,
39855,963.719279128878,6,Marcus König,,,,
66768,1007.03356174629,2,Marcus Melcher,,,,
66769,1003.77721547969,2,Marcus Mittelstadt,,,,
134345,906.051350395308,42,Marcus Ornellas,,,,
20542,992.64572929123,1,Marcus Schattner,,,,
12770,1005.0268473354,38,Marcus Vinicius Fernandes,,,,
61102,1030.42154584236,3,Marcus Wucherer,,,,
21626,985.001290254381,1,Marek Dolezal,,,,
10780,992.595971555543,4,Marek Dvorak,,,,
5750,1168.06193229434,80,Marek Jaskolka,,,,
80941,988.985926472346,1,Marek Jaskolka,,,,
22160,941.982749595376,3,Marek Olszewski,,,,
114666,936.98769769649,5,Marek Pavuk,,,,
104312,983.884152142512,1,Marek Smetana,,,,
86060,1005.47736927448,1,Marek Strachota,,,,
140607,977.170729218566,1,Marek Urbanski,,,,
62565,992.082375222943,1,Margus Püvi,,,,
74808,980.995364067247,1,Margus Tamm,,,,
29712,1001.42319796469,1,Marian Konstantin,,,,
55044,991.573778148373,5,Mariano Jose Cambursano,,,,
92819,974.20816085842,1,Mariano Nava Guevara,,,,
7696,1018.28885606983,3,Marijan Pedisic,,,,
21418,975.895689465898,1,Marijn Geurken,,,,
19185,1000.34045140715,3,Marin Koceic,,,,
61228,983.611786987649,1,Marin-Geo Malleier,,,,
91832,968.130211411015,1,Marino Jukic,,,,
145345,990.804127244842,1,Marino Rocca,,,,
6605,1052.51417109505,4,Marino Vanhoenacker,,,,
93755,960.896367784701,2,Mario Arias,,,,
39517,955.139256057863,2,Mario Brandl,,,,
71016,977.455143046501,1,Mario Bugeja,,,,
22097,1016.98386014627,1,Mario De Elias,,,,
10893,976.506598048612,3,Mario Enrico Rivera,,,,
7170,966.305764312555,2,Mario Fava,,,,
66755,970.743265318392,2,Mario Felker,,,,
23141,998.615304590197,1,Mario Francisco Gastelum,,,,
31451,979.571058517622,1,Mario Garcia Martin,,,,
10880,985.952618102967,1,Mario Giorgi,,,,
156308,978.318836882027,1,Mario Haderer,,,,
22061,973.883651823502,1,Mario Holze,,,,
23001,977.96472816412,1,Mario Jorge Melo,,,,
161194,989.636847099641,1,Mario Lavin Fomperosa,,,,
86077,968.647127538887,1,Mario Lutz,,,,
10925,1009.41633995055,1,Mario Mailänder,,,,
11402,1462.07536787595,106,Mario Mola,,,,
156300,984.335930899121,1,Mario Novak,,,,
160613,985.00041746683,1,Mario Ortega,,,,
10535,985.384062924165,6,Mario Raimundo,,,,
21729,996.870995378744,3,Mario Santana Leon,,,,
21465,993.618689680259,2,Mario Sikic,,,,
22041,984.774704554602,1,Mario Stuth,,,,
67154,971.212222446911,1,Mario Vismale,,,,
164377,993.735150632144,1,Marius Genton,,,,
15394,1029.93472369933,3,Mark Allen,,,,
78435,1017.67742102159,35,Mark Bates,,,,
162361,998.966270238871,2,Mark Booth,,,,
21868,984.329795023545,2,Mark Bowstead,,,,
9876,953.067834532497,3,Mark Brinkmann,,,,
18458,979.014121335326,4,Mark Brown,,,,
7947,1067.83464288267,7,Mark Bruce,,,,
39875,1193.01859983404,34,Mark Buckingham,,,,
71015,990.788476379835,1,Mark Bugeja,,,,
15143,922.833027641566,5,Mark Candelaria,,,,
15347,1049.39987537374,2,Mark Dragan,,,,
122583,999.514874001039,3,Mark Edmonds,,,,
8267,966.694720619611,1,Mark Ellis,,,,
165457,985.155534037749,1,Mark Fairley,,,,
5687,770.394805693615,104,Mark Fretta,,,,
159735,1017.49755126205,1,Mark Geus,,,,
110510,985.704095025575,1,Mark Glusing,,,,
93590,882.074849586241,15,Mark Hosana,,,,
147057,986.294303042128,1,Mark Hudson,,,,
168940,1007.85238980605,1,Mark Imazu,,,,
50730,1056.68472443006,3,Mark Koks,,,,
100122,976.924380460611,1,Mark Kolding,,,,
147416,996.808599597118,1,Mark Laidlow,,,,
5710,1070.15528223249,23,Mark Lees,,,,
148826,969.752120824004,1,Mark Limanov,,,,
64935,975.309216959165,4,Mark Mandic,,,,
10522,915.816069423804,11,Mark Marabini,,,,
10745,1000.47594879403,2,Mark Meadows,,,,
9070,1006.03937379128,1,Mark Montgomery,,,,
15126,923.986768218799,17,Mark O'Donnell,,,,
40889,999.315877409003,10,Mark Oude Bennink,,,,
121926,975.114537637582,1,Mark Pessink,,,,
110915,1007.57560704578,1,Mark Peter Candelaria,,,,
12707,981.737947855804,1,Mark Roberts,,,,
146807,988.569923295262,2,Mark Rollier,,,,
23890,969.198924850327,1,Mark Saroni,,,,
14823,987.679804023366,1,Mark Scott,,,,
12162,1040.55742129678,7,Mark Threlfall,,,,
55998,968.667729045037,5,Mark Tosh,,,,
77474,982.656919751943,2,Mark Tripp,,,,
147060,984.902998694302,1,Mark Turton,,,,
61241,1027.8470811053,1,Mark Tweedie,,,,
122743,934.512168501309,4,Mark Twum Ofosu,,,,
29250,997.980982507114,1,Mark Van Akkeren,,,,
8538,976.369856821107,1,Mark Wachendorf,,,,
61101,988.581515649248,1,Mark Walsh,,,,
10027,969.793158665686,1,Mark Welch,,,,
111032,941.37868134284,2,Mark Welsh,,,,
149881,978.124881961823,1,Mark Young,,,,
6988,855.749266184523,17,Mark Zammit,,,,
5334,1144.10934577245,62,Marko Albert,,,,
